"Date Time","Intersection Street One","Intersection Street Two","Address Street Number","Address Street Name","Number of Motorists","Number of Cyclists","Number of Pedestrians","Number of Injured Individuals","Hospitalizations (estimated)","Neighborhood (estimated)"
"2026 Aug 19 08:39:00 PM","FULKERSON STREET","SPRING STREET",,,"1","0","0","0","0","East Cambridge"
"2026 Aug 19 07:00:00 PM",,,"1046","CAMBRIDGE STREET","1","1","0","1","0","Wellington-Harrington"
"2026 Aug 19 06:36:00 PM","250 MASS AVE",,,,"1","0","0","1","0",
"2026 Aug 19 06:21:00 PM",,,"50","ABERDEEN","1","0","0","0","0",
"2026 Aug 19 05:31:00 PM","BROADWAY","PROSPECT STREET",,,"2","0","0","0","0","The Port"
"2026 Aug 19 03:30:00 PM",,,"1","FRONT STREET","1","0","0","0","0","Baldwin"
"2026 Aug 19 11:10:00 AM",,,"9A","WARE STREET","0","0","0","0","0","Mid-Cambridge"
"2026 Aug 19 10:00:00 AM",,,"50","CHURCHILL AVE","1","0","0","0","0","North Cambridge"
"2026 Aug 19 09:26:00 AM","GARDEN STREET","WINSLOW STREET",,,"2","0","0","0","0","Neighborhood Nine"
"2026 Aug 19 08:51:00 AM",,,"121","PARKING LOT OF CHARLES ST","1","0","0","0","0","East Cambridge"
"2026 Aug 19 08:46:00 AM","HARVARD ST","ELLERY ST",,,"2","0","0","0","0","Mid-Cambridge"
"2026 Aug 19 04:56:00 AM","HAMPSHIRE ST","WEBSTER AVE",,,"2","0","0","0","0","Wellington-Harrington"
"2026 Aug 19 03:24:00 AM",,,"63","MT AUBURN STREET","0","0","0","0","0","Riverside"
"2026 Aug 18 05:50:00 PM",,,"198","ALEWIFE BROOK PKWY","1","0","0","0","0","Cambridge Highlands"
"2026 Aug 17 04:29:00 PM",,,"589","MASSACHUSETTS AVENUE","1","1","0","1","0","The Port"
"2026 Aug 17 01:15:00 PM","FIFTH STREET","CAMBRIDGE STREET",,,"2","0","0","0","0","East Cambridge"
"2026 Aug 17 12:00:00 PM",,,"5","HASKELL ST","0","0","0","0","0","North Cambridge"
"2026 Aug 17 06:40:00 AM",,,"100","CAMBRIDGESIDE PLACE","0","0","0","0","0","East Cambridge"
"2026 Aug 15 05:20:00 PM",,,"1","ROSS STREET","2","0","0","0","0","Cambridgeport"
"2026 Aug 15 10:30:00 AM",,,"11","SACRAMENTO ST","2","0","0","1","0","Baldwin"
"2026 Aug 15 09:00:00 AM",,,"381","CARDINAL MEDEIROS AVE","1","0","0","0","0","Wellington-Harrington"
"2026 Aug 15 07:00:00 AM",,,"350","THIRD ST","1","0","0","1","0","East Cambridge"
"2026 Aug 15 12:30:00 AM",,,"472","MASSACHUSETTS AVENUE","2","0","0","2","0","Cambridgeport"
"2026 Aug 14 08:30:00 AM",,,"48","SAVILLE ST","0","0","0","0","0","West Cambridge"
"2026 Aug 14 07:15:00 AM","SPARKS ST","HURON AVE",,,"2","0","0","1","1","West Cambridge"
"2026 Aug 14 05:45:00 AM",,,"50","MOONEY ST","1","0","0","0","0","Cambridge Highlands"
"2026 Aug 14 01:19:00 AM",,,"1716","CAMBRIDGE ST","1","0","0","0","0","Mid-Cambridge"
"2026 Aug 13 09:59:00 PM","CEDAR ST","HARVEY ST",,,"1","0","0","0","0","North Cambridge"
"2026 Aug 13 08:33:00 PM",,,"449","BROADWAY","1","0","0","0","0","Mid-Cambridge"
"2026 Aug 13 01:00:00 PM","ROGERS STREET","ROGERS STREET",,"SECOND STREET","1","0","0","0","0",
"2026 Aug 12 04:30:00 PM",,,"100","CAMBRIDGESIDE PL GARAGE","0","0","0","0","0","East Cambridge"
"2026 Aug 12 01:52:00 PM",,,"720","MASSACHUSETTS AVENUE","1","0","0","0","0","Riverside"
"2026 Aug 12 11:03:00 AM",,,"201","BROADWAY","1","0","0","0","0","The Port"
"2026 Aug 12 09:30:00 AM",,,"933","CAMBRIDGE ST","1","0","0","0","0","Wellington-Harrington"
"2026 Aug 11 10:45:00 PM",,,"100","CAMBRIDGESIDE PL","1","0","0","0","0","East Cambridge"
"2026 Aug 11 02:40:00 PM",,,,"ROGERS STREET","2","0","0","0","0",
"2026 Aug 11 02:29:00 PM",,,"356","THIRD STREET","0","0","0","0","0","East Cambridge"
